,Name,Throws,School,Conference,Initiated Date,Grade,G,GS,BF,IP,K,BB,HR,BA,ERA,xFIP,WHIP,K%,BB%,HR%,wOBA,FB/GB,Strike%,CSW%,TopVelo,Multiple Transfers?,K-BB
127,"Behnke, Andrew",L,Tennessee,SEC,6/18/2025,,12,0,42,10,5,3,3,.265,5.40,5.42,1.20,11.9%,7.1%,7.1%,.401,0.5,61.0%,25%,90.8,FALSE,4.8%
128,"Banks, Nyle",R,Southern,SWAC,6/18/2025,,12,7,171,31.1,35,31,9,.295,12.06,5.88,2.23,20.5%,18.1%,5.3%,.450,1.1,56.2%,25%,91.4,FALSE,2.4%
129,"Barkman, Trey",R,Ohio,MAC,6/18/2025,,15,2,117,22,19,27,7,.235,8.59,6.79,2.14,16.2%,23.1%,6.0%,.421,1.0,57.2%,26%,87,FALSE,-6.9%
130,"Hudson, Benjamin",R,West Virginia,Big 12,6/18/2025,,17,1,116,26.1,29,11,4,.250,3.76,4.70,1.33,25.0%,9.5%,3.4%,.361,1.0,60.3%,30%,88.8,FALSE,15.5%
131,"McKnight, Bryce",R,Arizona,Pac-12,6/17/2025,,5,2,40,8,7,4,2,.382,6.75,5.24,2.13,17.5%,10.0%,5.0%,.487,0.2,62.6%,28%,91.7,FALSE,7.5%
132,"Johnson, Carson",R,Arizona,Pac-12,6/17/2025,,12,0,59,12.1,7,5,1,.313,8.03,5.49,1.62,11.9%,8.5%,1.7%,.378,0.1,64.7%,25%,92,FALSE,3.4%
133,"Hartman, Lucas",R,Western Kentucky,CUSA,6/17/2025,3.4,19,1,193,47.2,55,19,3,.173,2.83,3.57,1.01,28.5%,9.8%,1.6%,.249,0.7,61.6%,33%,90.9,TRUE,18.7%
134,"Frizzi, Sam",R,Southern Illinois,MVC,6/17/2025,,24,0,143,34,34,13,4,.244,2.91,3.37,1.29,23.8%,9.1%,2.8%,.304,0.5,65.8%,33%,85.7,FALSE,14.7%
135,"Huspen, Colin",R,Abilene Christian,WAC,6/17/2025,,5,0,22,4.1,2,4,2,.333,14.54,6.56,2.31,9.1%,18.2%,9.1%,.472,0.8,59.8%,21%,90,FALSE,-9.1%
136,"Lettow, Rohan",R,Arizona State,Pac-12,6/17/2025,,5,2,50,10,8,5,5,.375,10.80,6.56,2.00,16.0%,10.0%,10.0%,.503,1.7,56.5%,24%,92.2,FALSE,6.0%
137,"Foster, Nolan",R,Abilene Christian,WAC,6/17/2025,,10,0,51,9.1,6,5,1,.375,12.54,6.16,2.14,11.8%,9.8%,2.0%,.431,0.7,60.8%,29%,92.2,TRUE,2.0%
138,"Jankowski, Alex",R,Stony Brook,CAA,6/17/2025,,11,0,56,11,10,12,3,.295,6.55,5.94,2.27,17.9%,21.4%,5.4%,.448,1.2,54.5%,23%,89.5,TRUE,-3.5%
139,"Howard, Flynn",R,Merrimack,NEC,6/17/2025,,15,5,167,38.1,24,15,5,.228,5.17,4.73,1.25,14.4%,9.0%,3.0%,.311,0.7,63.4%,26%,89.6,FALSE,5.4%
140,"Tedesco, Jake",L,Washington State,Pac-12,6/17/2025,1.4,19,6,165,31.2,30,30,7,.323,7.96,6.01,2.24,18.2%,18.2%,4.2%,.435,0.8,55.5%,27%,91.6,TRUE,0.0%
141,"Bryans, Beau",L,Alabama,SEC,6/17/2025,,13,0,58,9,12,15,0,.333,10.00,7.99,3.11,20.7%,25.9%,0.0%,.423,0.2,50.8%,29%,94.1,FALSE,-5.2%
142,"Catto, Griffin",R,Southern Illinois,MVC,6/17/2025,,2,0,9,1,0,4,0,.400,36.00,17.40,6.00,0.0%,44.4%,0.0%,.507,0.5,46.7%,27%,86.1,FALSE,-44.4%
143,"Lopez, Jayden",L,New Orleans,SLC,6/16/2025,,3,0,9,1.1,0,2,0,.200,13.50,13.84,2.25,0.0%,22.2%,0.0%,.492,0.3,48.0%,28%,88.2,FALSE,-22.2%
144,"Sarna, Owen",R,Winthrop,Big South,6/16/2025,2.6,18,10,290,63,57,21,5,.292,5.14,4.09,1.52,19.7%,7.2%,1.7%,.342,0.4,64.0%,28%,90.8,TRUE,12.5%
145,"Deschryver, Nathan",R,NJIT,AmEast,6/16/2025,,15,9,259,55.1,69,42,4,.173,4.72,5.12,1.37,26.6%,16.2%,1.5%,.308,1.6,57.3%,30%,89.5,TRUE,10.4%
146,"Loy, Dylan",L,Tennessee,SEC,6/16/2025,2.4,27,0,109,27.2,31,8,5,.146,3.58,3.53,0.80,28.4%,7.3%,4.6%,.250,0.9,63.3%,36%,88.6,FALSE,21.1%
147,"Kane, Nick",R,Sacred Heart,NEC,6/16/2025,,6,0,34,4.1,6,10,1,.316,16.62,11.20,3.69,17.6%,29.4%,2.9%,.473,0.7,50.0%,28%,90.6,FALSE,-11.8%
148,"Boule, Luke",R,Albany,AmEast,6/16/2025,,14,0,121,21.2,12,15,3,.337,13.29,8.07,2.08,9.9%,12.4%,2.5%,.464,1.5,54.6%,21%,84.3,FALSE,-2.5%
149,"Wissler, Daniel",L,Missouri,SEC,6/16/2025,,2,2,16,3.2,3,0,0,.231,4.91,4.99,0.82,18.8%,0.0%,0.0%,.257,1.0,60.7%,28%,91.6,FALSE,18.8%
150,"Winders, Max",R,Western Kentucky,CUSA,6/16/2025,,1,0,7,1.2,0,1,0,.333,0.00,8.97,1.80,0.0%,14.3%,0.0%,.405,-,69.2%,31%,88.9,FALSE,-14.3%
151,"Litteral, Lucas",L,Western Kentucky,CUSA,6/16/2025,2.2,14,1,107,22,29,19,2,.279,7.36,4.73,1.95,27.1%,17.8%,1.9%,.377,0.7,57.5%,31%,91.5,FALSE,9.3%
152,"Cain, Brandon",R,Oklahoma,Big 12,6/16/2025,,1,0,6,0.1,1,1,1,.800,81.00,16.16,15.00,16.7%,16.7%,16.7%,.958,2.0,54.2%,29%,93.5,FALSE,0.0%
153,"Seo, MJ",R,Wichita State,AAC,6/16/2025,,1,1,5,0.1,1,2,1,.500,108.00,24.18,9.00,20.0%,40.0%,20.0%,.830,-,33.3%,24%,-,TRUE,-20.0%
154,"Stone, Dakota",L,Central Florida,Big 12,6/16/2025,,4,0,17,2.1,4,3,1,.500,27.00,6.46,4.29,23.5%,17.6%,5.9%,.598,1.0,54.2%,26%,95.8,TRUE,5.9%
155,"Torres, Jayson",R,Seton Hall,Big East,6/16/2025,,14,0,124,20.1,23,19,2,.446,13.72,6.26,2.95,18.5%,15.3%,1.6%,.495,0.9,56.0%,25%,91.5,FALSE,3.2%
156,"Lanzendorfer, Matthew",L,Virginia,ACC,6/16/2025,2.8,22,0,130,31,40,13,2,.195,2.90,3.54,1.13,30.8%,10.0%,1.5%,.273,0.9,63.4%,32%,93.1,TRUE,20.8%
157,"Douglas, Kameron",R,Alabama State,SWAC,6/14/2025,,5,3,32,5.1,6,11,1,.158,8.44,8.51,2.63,18.8%,34.4%,3.1%,.393,0.3,47.9%,28%,92.5,TRUE,-15.6%
158,"Macchiarola, Danny",R,Holy Cross,Patriot,6/13/2025,3.9,14,14,365,87.1,87,26,3,.218,3.09,3.21,1.11,23.8%,7.1%,0.8%,.262,0.3,65.3%,29%,92.1,FALSE,16.7%
159,"Pryor, Will",R,Belmont,MVC,6/13/2025,,5,5,120,25,26,18,5,.292,7.56,5.56,1.84,21.7%,15.0%,4.2%,.410,1.0,59.4%,31%,92.4,FALSE,6.7%
160,"Bingham, Logan",R,Middle Tennessee State,CUSA,6/13/2025,,4,1,37,7,5,2,2,.364,12.86,5.52,2.00,13.5%,5.4%,5.4%,.436,0.6,69.4%,30%,88.2,FALSE,8.1%
161,"Soucie, Jackson",L,South Carolina,SEC,6/13/2025,2.3,14,5,131,30,32,13,7,.241,5.40,4.13,1.37,24.4%,9.9%,5.3%,.339,0.7,64.3%,27%,91.4,FALSE,14.5%
162,"Winston, Hunter",L,Ohio,MAC,6/13/2025,,14,9,203,36,26,41,11,.320,11.50,7.09,2.50,12.8%,20.2%,5.4%,.464,1.0,54.4%,25%,86.2,FALSE,-7.4%
163,"Rodriguez, Ryne",L,Ole Miss,SEC,6/13/2025,,18,0,54,11.1,12,4,1,.286,6.35,4.87,1.41,22.2%,7.4%,1.9%,.343,0.8,61.6%,31%,91.5,FALSE,14.8%
164,"Rath, Aidan",R,Eastern Kentucky,ASUN,6/13/2025,,2,0,9,1,0,3,2,.500,27.00,16.62,6.00,0.0%,33.3%,22.2%,.781,4.0,34.4%,9%,92.5,FALSE,-33.3%
165,"Sharp, Brayden",L,Tennessee,SEC,6/13/2025,,8,0,37,8,15,5,4,.233,6.75,2.93,1.50,40.5%,13.5%,10.8%,.436,1.2,60.5%,39%,90,FALSE,27.0%
166,"Duncan, Jackson",R,Dayton,A-10,6/13/2025,,5,3,51,9.1,4,10,1,.368,7.71,7.16,2.57,7.8%,19.6%,2.0%,.464,0.3,57.1%,22%,92.9,FALSE,-11.8%
167,"Hunley, Austin",R,Tennessee,SEC,6/13/2025,,12,0,45,9.2,12,4,0,.270,2.79,4.56,1.45,26.7%,8.9%,0.0%,.340,0.4,66.1%,37%,89.4,FALSE,17.8%
168,"Wentworth, TP",L,Clemson,ACC,6/13/2025,,11,0,42,9,8,5,2,.286,8.00,4.88,1.67,19.0%,11.9%,4.8%,.375,0.4,61.9%,27%,91,FALSE,7.1%
169,"Weaver, Aidan",R,Duke,ACC,6/12/2025,,10,2,68,14.2,10,12,1,.222,4.91,6.19,1.64,14.7%,17.6%,1.5%,.334,0.3,56.0%,22%,95.6,FALSE,-2.9%
170,"Jameson, Caleb",L,Baylor,Big 12,6/12/2025,2.2,14,7,133,28.2,25,11,2,.288,5.02,4.52,1.57,18.8%,8.3%,1.5%,.329,0.5,64.7%,29%,92.2,FALSE,10.5%
171,"Roblez, Albert",R,Long Beach State,Big West,6/12/2025,3.4,19,3,243,58.1,79,28,4,.168,2.78,3.53,1.06,32.5%,11.5%,1.6%,.272,0.9,64.1%,34%,90.7,TRUE,21.0%
172,"Huerta, Alan",R,Utah Valley,WAC,6/12/2025,,13,0,120,23,27,12,3,.337,8.61,4.61,1.96,22.5%,10.0%,2.5%,.403,0.7,60.8%,31%,91,FALSE,12.5%
173,"Clark, Ross",R,Grand Canyon,WAC,6/12/2025,,12,2,120,27,17,10,6,.276,6.33,5.29,1.44,14.2%,8.3%,5.0%,.378,1.0,63.9%,27%,89,FALSE,5.9%
174,"Thompson, Demarques",R,Prairie View A&M,SWAC,6/12/2025,,27,1,224,38.1,39,55,2,.289,8.69,7.51,2.56,17.4%,24.6%,0.9%,.408,0.4,49.5%,26%,88.1,FALSE,-7.2%
175,"Galdoni, Adam",R,Butler,Big East,6/12/2025,,3,0,12,1.1,1,3,0,.429,33.75,13.76,4.50,8.3%,25.0%,0.0%,.575,0.0,41.7%,19%,88.7,FALSE,-16.7%
176,"Hsu, Brandon",R,Rhode Island,A-10,6/12/2025,,16,0,93,20.1,13,16,1,.246,3.54,5.85,1.62,14.0%,17.2%,1.1%,.340,0.4,53.6%,24%,88,FALSE,-3.2%
177,"Loch, Marshall",R,Southern Indiana,Ohio,6/12/2025,,23,0,85,14.1,22,16,1,.328,16.33,5.90,2.58,25.9%,18.8%,1.2%,.432,1.3,55.4%,29%,90.4,FALSE,7.1%
178,"Louck, Brady",L,Florida State,ACC,6/11/2025,,9,0,46,11.2,10,7,2,.135,3.86,4.66,1.03,21.7%,15.2%,4.3%,.274,0.4,56.7%,29%,91.5,FALSE,6.5%
179,"Yadlon, Brian",L,Fairleigh Dickinson,NEC,6/11/2025,,12,0,101,16,15,22,1,.348,10.69,7.66,2.88,14.9%,21.8%,1.0%,.437,0.8,51.3%,25%,89,FALSE,-6.9%
180,"Hindy, Mark",L,Duke,ACC,6/11/2025,2.7,22,0,113,26.2,34,11,3,.198,3.38,3.56,1.13,30.1%,9.7%,2.7%,.292,0.6,62.3%,31%,90.5,TRUE,20.4%
181,"Jones, Jeremy",R,CSU Bakersfield,Big West,6/11/2025,,7,2,61,10,11,14,0,.333,11.70,6.81,2.90,18.0%,23.0%,0.0%,.415,0.2,52.5%,28%,90.9,FALSE,-5.0%
182,"Craig, Haldon",R,CSU Bakersfield,Big West,6/11/2025,,6,0,26,4,7,9,1,.214,11.25,8.48,3.00,26.9%,34.6%,3.8%,.443,1.0,48.7%,30%,93.4,FALSE,-7.7%
183,"Musser, Bennett",R,Valparaiso,MVC,6/11/2025,,3,0,16,1.2,0,3,0,.556,16.20,13.71,4.80,0.0%,18.8%,0.0%,.508,0.6,55.4%,18%,87.4,FALSE,-18.8%
184,"Proksch, Owen",L,Duke,ACC,6/11/2025,2.9,16,9,221,51.1,72,21,6,.201,4.21,3.76,1.13,32.6%,9.5%,2.7%,.303,0.8,62.9%,36%,91.4,FALSE,23.1%
185,"Nard, Gabriel",R,Duke,ACC,6/11/2025,,26,2,204,47,42,14,4,.225,3.45,3.92,1.15,20.6%,6.9%,2.0%,.286,0.3,61.9%,30%,91.8,FALSE,13.7%
186,"Uchman, Ty",L,George Mason,A-10,6/3/2025,,6,2,41,7.1,7,9,0,.308,14.73,7.24,2.32,17.1%,22.0%,0.0%,.389,0.7,51.4%,28%,84.8,FALSE,-4.9%
187,"Khan, Amaan",R,St. Louis,A-10,6/3/2025,,2,0,10,0.1,0,1,0,.875,189.00,22.16,24.00,0.0%,10.0%,0.0%,.767,0.0,56.4%,21%,88.7,FALSE,-10.0%
189,"Gutierrez, Sebastian",R,Northern Illinois,MAC,6/3/2025,,3,1,14,1.1,0,5,0,.571,54.00,22.26,6.75,0.0%,35.7%,0.0%,.658,1.5,28.9%,11%,87.3,FALSE,-35.7%
185,"Salas, Stryder",R,St. Louis,A-10,6/3/2025,,8,0,38,5.1,2,16,0,.167,15.19,14.36,3.56,5.3%,42.1%,0.0%,.432,0.8,37.4%,19%,91.5,FALSE,-36.8%
191,"Surigao, Joshua",L,Hawaii,Big West,6/2/2025,,2,0,10,1.2,4,2,0,.143,0.00,3.78,1.80,40.0%,20.0%,0.0%,.301,0.0,61.5%,44%,89,FALSE,20.0%
195,"Ball, Connor",L,Alabama,SEC,6/2/2025,,11,0,26,5,6,1,2,.400,9.00,4.04,2.20,23.1%,3.8%,7.7%,.484,0.7,68.1%,35%,88.6,FALSE,19.3%
196,"Monke, Carter",R,Illinois State,MVC,6/2/2025,2.4,16,11,253,55,35,15,4,.329,6.55,4.99,1.62,13.8%,5.9%,1.6%,.357,0.9,66.2%,26%,88.5,FALSE,7.9%
194,"Harris, Malik",R,Memphis,AAC,6/2/2025,,10,0,71,14,12,8,0,.322,3.21,5.62,1.93,16.9%,11.3%,0.0%,.367,0.3,59.1%,28%,91.5,FALSE,5.6%
197,"Frese, Zane",R,Winthrop,Big South,6/2/2025,,8,0,28,5.1,6,5,2,.200,8.44,6.68,1.69,21.4%,17.9%,7.1%,.413,1.3,51.9%,24%,87.2,FALSE,3.5%
192,"Dohrmann, Zach",R,Milwaukee,Horizon,6/2/2025,,19,0,114,22.1,19,17,3,.290,7.25,5.45,1.97,16.7%,14.9%,2.6%,.395,1.0,56.7%,26%,86.1,FALSE,1.8%
190,"Buss, Mason",R,Kansas State,Big 12,6/2/2025,,2,0,10,1.1,0,0,0,.571,13.50,9.34,3.00,0.0%,0.0%,0.0%,.596,0.3,61.5%,19%,90.9,FALSE,0.0%
193,"Vazquez, Jorgie",R,Southern,SWAC,6/2/2025,,8,0,41,6,3,4,1,.414,19.50,9.34,2.67,7.3%,9.8%,2.4%,.510,0.5,55.5%,25%,86.9,FALSE,-2.5%
